database,submission_date,release_date,last_update_date,title,accession,type,source,organism,host strain,host gender,host age (yr),pathogen,bacterial strain,pathogen   dosage cfu/g,inoculum route,anatomic site of infection,infection status,time after infection (h),replicate number,experimental batch,treatment_protocol,molecule,extract_protocol,label,label_protocol,hybridization_protocol,scan_protocol,data_processing,ethnicity,description,
GEO,31-10-11,11-01-13,11-01-13,blood 129S1/SvImJ 0hrs rep1 batch 2 batch 2 1545_4182_21995_129-cont-1set,GSM824455,RNA,blood 129S1/SvImJ mouse strain NOT infected,Mus musculus,129S1/SvImJ,male,0.50-0.66,-,-,-,-,-,-,0,1,2,"To mimic the natural course of S. aureus infection in humans, which typically arises from a primary focus of infection and disseminates to other sites, we employed an intraperitoneal (i.p.) route of infection in our animal model.",total RNA,"Total RNA was extracted from mouse blood using the Mouse RiboPure Blood RNA kit (Ambion, Austin, TX) according to the manufacturerâ€™s instructions. Globin mRNA was removed from whole blood RNA using the Globinclear kit (Ambion, Austin, TX). All samples passed the quality criteria of the Agilent Bioanalyzer and were used for microarray analysis. Since the total RNA yield of many samples was low, one round of linear amplification was performed for all samples using the MessageAmp Premier kit (Ambion, Austin, TX).",Biotin,Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 0.5 ug total RNA (Affymetrix).,"Biotin-labeled cDNA was hybridized to the arrays for 16 hours at 45Â°C according to the manufacturerâ€™s instruction. Arrays were then washed and labeled with streptavidinphycoerythrin (strep-PE), and the signal was amplified using biotinylated antistreptavidin followed by another round of staining with strep-PE. These steps were performed on the Affymetrix fluidics station according to the recommended protocol.","Amplification and microarray hybridization were performed at the Duke University Microarray Core. Labeled gene chips were scanned using an Affymetrix Genechip Scanner 7G (Santa Clara, CA).","Data processing was conducted using the Robust Multichip Average (RMA) generated by Affymetrix Expression Console software. Microarray data was analyzed in two steps following the analysis strategy previously outlined and utilized (Zaas et al., 2010). First, a Bayesian sparse factor model was fit to the expression data without regard to phenotype (Carvalho et al., 2008; Wang et al., 2007). Second, factors were then used to build a probit regression with variable selection model (Hans et al., 2007) trained to identify S. aureus infection.",,,
GEO,31-10-11,11-01-13,11-01-13,blood 129S1/SvImJ 0hrs rep2 batch 2 batch 2 1545_4182_22009_129-cont-2set,GSM824456,RNA,blood 129S1/SvImJ mouse strain NOT infected,Mus musculus,129S1/SvImJ,male,0.50-0.66,-,-,-,-,-,-,0,2,2,"To mimic the natural course of S. aureus infection in humans, which typically arises from a primary focus of infection and disseminates to other sites, we employed an intraperitoneal (i.p.) route of infection in our animal model.",total RNA,"Total RNA was extracted from mouse blood using the Mouse RiboPure Blood RNA kit (Ambion, Austin, TX) according to the manufacturerâ€™s instructions. Globin mRNA was removed from whole blood RNA using the Globinclear kit (Ambion, Austin, TX). All samples passed the quality criteria of the Agilent Bioanalyzer and were used for microarray analysis. Since the total RNA yield of many samples was low, one round of linear amplification was performed for all samples using the MessageAmp Premier kit (Ambion, Austin, TX).",Biotin,Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 0.5 ug total RNA (Affymetrix).,"Biotin-labeled cDNA was hybridized to the arrays for 16 hours at 45Â°C according to the manufacturerâ€™s instruction. Arrays were then washed and labeled with streptavidinphycoerythrin (strep-PE), and the signal was amplified using biotinylated antistreptavidin followed by another round of staining with strep-PE. These steps were performed on the Affymetrix fluidics station according to the recommended protocol.","Amplification and microarray hybridization were performed at the Duke University Microarray Core. Labeled gene chips were scanned using an Affymetrix Genechip Scanner 7G (Santa Clara, CA).","Data processing was conducted using the Robust Multichip Average (RMA) generated by Affymetrix Expression Console software. Microarray data was analyzed in two steps following the analysis strategy previously outlined and utilized (Zaas et al., 2010). First, a Bayesian sparse factor model was fit to the expression data without regard to phenotype (Carvalho et al., 2008; Wang et al., 2007). Second, factors were then used to build a probit regression with variable selection model (Hans et al., 2007) trained to identify S. aureus infection.",,,
GEO,31-10-11,11-01-13,11-01-13,blood 129S1/SvImJ 0hrs rep3 batch 2 batch 2 1545_4182_22023_129-cont-3set,GSM824457,RNA,blood 129S1/SvImJ mouse strain NOT infected,Mus musculus,129S1/SvImJ,male,0.50-0.66,-,-,-,-,-,-,0,3,2,"To mimic the natural course of S. aureus infection in humans, which typically arises from a primary focus of infection and disseminates to other sites, we employed an intraperitoneal (i.p.) route of infection in our animal model.",total RNA,"Total RNA was extracted from mouse blood using the Mouse RiboPure Blood RNA kit (Ambion, Austin, TX) according to the manufacturerâ€™s instructions. Globin mRNA was removed from whole blood RNA using the Globinclear kit (Ambion, Austin, TX). All samples passed the quality criteria of the Agilent Bioanalyzer and were used for microarray analysis. Since the total RNA yield of many samples was low, one round of linear amplification was performed for all samples using the MessageAmp Premier kit (Ambion, Austin, TX).",Biotin,Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 0.5 ug total RNA (Affymetrix).,"Biotin-labeled cDNA was hybridized to the arrays for 16 hours at 45Â°C according to the manufacturerâ€™s instruction. Arrays were then washed and labeled with streptavidinphycoerythrin (strep-PE), and the signal was amplified using biotinylated antistreptavidin followed by another round of staining with strep-PE. These steps were performed on the Affymetrix fluidics station according to the recommended protocol.","Amplification and microarray hybridization were performed at the Duke University Microarray Core. Labeled gene chips were scanned using an Affymetrix Genechip Scanner 7G (Santa Clara, CA).","Data processing was conducted using the Robust Multichip Average (RMA) generated by Affymetrix Expression Console software. Microarray data was analyzed in two steps following the analysis strategy previously outlined and utilized (Zaas et al., 2010). First, a Bayesian sparse factor model was fit to the expression data without regard to phenotype (Carvalho et al., 2008; Wang et al., 2007). Second, factors were then used to build a probit regression with variable selection model (Hans et al., 2007) trained to identify S. aureus infection.",,,
GEO,31-10-11,11-01-13,11-01-13,blood 129S1/SvImJ 2hrs Sanger rep1 batch 2 batch 2 1545_4182_21996_129-2h-1set,GSM824458,RNA,blood 129S1/SvImJ mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,129S1/SvImJ,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,1,2,"To mimic the natural course of S. aureus infection in humans, which typically arises from a primary focus of infection and disseminates to other sites, we employed an intraperitoneal (i.p.) route of infection in our animal model.",total RNA,"Total RNA was extracted from mouse blood using the Mouse RiboPure Blood RNA kit (Ambion, Austin, TX) according to the manufacturerâ€™s instructions. Globin mRNA was removed from whole blood RNA using the Globinclear kit (Ambion, Austin, TX). All samples passed the quality criteria of the Agilent Bioanalyzer and were used for microarray analysis. Since the total RNA yield of many samples was low, one round of linear amplification was performed for all samples using the MessageAmp Premier kit (Ambion, Austin, TX).",Biotin,Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 0.5 ug total RNA (Affymetrix).,"Biotin-labeled cDNA was hybridized to the arrays for 16 hours at 45Â°C according to the manufacturerâ€™s instruction. Arrays were then washed and labeled with streptavidinphycoerythrin (strep-PE), and the signal was amplified using biotinylated antistreptavidin followed by another round of staining with strep-PE. These steps were performed on the Affymetrix fluidics station according to the recommended protocol.","Amplification and microarray hybridization were performed at the Duke University Microarray Core. Labeled gene chips were scanned using an Affymetrix Genechip Scanner 7G (Santa Clara, CA).","Data processing was conducted using the Robust Multichip Average (RMA) generated by Affymetrix Expression Console software. Microarray data was analyzed in two steps following the analysis strategy previously outlined and utilized (Zaas et al., 2010). First, a Bayesian sparse factor model was fit to the expression data without regard to phenotype (Carvalho et al., 2008; Wang et al., 2007). Second, factors were then used to build a probit regression with variable selection model (Hans et al., 2007) trained to identify S. aureus infection.",,,
GEO,31-10-11,11-01-13,11-01-13,blood 129S1/SvImJ 2hrs Sanger rep2 batch 2 batch 2 1545_4182_22010_129-2h-2set,GSM824459,RNA,blood 129S1/SvImJ mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,129S1/SvImJ,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,2,2,"To mimic the natural course of S. aureus infection in humans, which typically arises from a primary focus of infection and disseminates to other sites, we employed an intraperitoneal (i.p.) route of infection in our animal model.",total RNA,"Total RNA was extracted from mouse blood using the Mouse RiboPure Blood RNA kit (Ambion, Austin, TX) according to the manufacturerâ€™s instructions. Globin mRNA was removed from whole blood RNA using the Globinclear kit (Ambion, Austin, TX). All samples passed the quality criteria of the Agilent Bioanalyzer and were used for microarray analysis. Since the total RNA yield of many samples was low, one round of linear amplification was performed for all samples using the MessageAmp Premier kit (Ambion, Austin, TX).",Biotin,Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 0.5 ug total RNA (Affymetrix).,"Biotin-labeled cDNA was hybridized to the arrays for 16 hours at 45Â°C according to the manufacturerâ€™s instruction. Arrays were then washed and labeled with streptavidinphycoerythrin (strep-PE), and the signal was amplified using biotinylated antistreptavidin followed by another round of staining with strep-PE. These steps were performed on the Affymetrix fluidics station according to the recommended protocol.","Amplification and microarray hybridization were performed at the Duke University Microarray Core. Labeled gene chips were scanned using an Affymetrix Genechip Scanner 7G (Santa Clara, CA).","Data processing was conducted using the Robust Multichip Average (RMA) generated by Affymetrix Expression Console software. Microarray data was analyzed in two steps following the analysis strategy previously outlined and utilized (Zaas et al., 2010). First, a Bayesian sparse factor model was fit to the expression data without regard to phenotype (Carvalho et al., 2008; Wang et al., 2007). Second, factors were then used to build a probit regression with variable selection model (Hans et al., 2007) trained to identify S. aureus infection.",,,
GEO,31-10-11,11-01-13,11-01-13,blood 129S1/SvImJ 2hrs Sanger rep3 batch 2 batch 2 1545_4182_22024_129-2h-3set,GSM824460,RNA,blood 129S1/SvImJ mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,129S1/SvImJ,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,3,2,"To mimic the natural course of S. aureus infection in humans, which typically arises from a primary focus of infection and disseminates to other sites, we employed an intraperitoneal (i.p.) route of infection in our animal model.",total RNA,"Total RNA was extracted from mouse blood using the Mouse RiboPure Blood RNA kit (Ambion, Austin, TX) according to the manufacturerâ€™s instructions. Globin mRNA was removed from whole blood RNA using the Globinclear kit (Ambion, Austin, TX). All samples passed the quality criteria of the Agilent Bioanalyzer and were used for microarray analysis. Since the total RNA yield of many samples was low, one round of linear amplification was performed for all samples using the MessageAmp Premier kit (Ambion, Austin, TX).",Biotin,Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 0.5 ug total RNA (Affymetrix).,"Biotin-labeled cDNA was hybridized to the arrays for 16 hours at 45Â°C according to the manufacturerâ€™s instruction. Arrays were then washed and labeled with streptavidinphycoerythrin (strep-PE), and the signal was amplified using biotinylated antistreptavidin followed by another round of staining with strep-PE. These steps were performed on the Affymetrix fluidics station according to the recommended protocol.","Amplification and microarray hybridization were performed at the Duke University Microarray Core. Labeled gene chips were scanned using an Affymetrix Genechip Scanner 7G (Santa Clara, CA).","Data processing was conducted using the Robust Multichip Average (RMA) generated by Affymetrix Expression Console software. Microarray data was analyzed in two steps following the analysis strategy previously outlined and utilized (Zaas et al., 2010). First, a Bayesian sparse factor model was fit to the expression data without regard to phenotype (Carvalho et al., 2008; Wang et al., 2007). Second, factors were then used to build a probit regression with variable selection model (Hans et al., 2007) trained to identify S. aureus infection.",,,
GEO,31-10-11,11-01-13,11-01-13,blood A/J 0hrs rep1 batch 6 batch 6 1545_4319_23514_AJ-control-2,GSM824461,RNA,blood A/J mouse strain NOT infected,Mus musculus,A/J,male,0.50-0.66,-,-,-,-,-,-,0,1,6,"To mimic the natural course of S. aureus infection in humans, which typically arises from a primary focus of infection and disseminates to other sites, we employed an intraperitoneal (i.p.) route of infection in our animal model.",total RNA,"Total RNA was extracted from mouse blood using the Mouse RiboPure Blood RNA kit (Ambion, Austin, TX) according to the manufacturerâ€™s instructions. Globin mRNA was removed from whole blood RNA using the Globinclear kit (Ambion, Austin, TX). All samples passed the quality criteria of the Agilent Bioanalyzer and were used for microarray analysis. Since the total RNA yield of many samples was low, one round of linear amplification was performed for all samples using the MessageAmp Premier kit (Ambion, Austin, TX).",Biotin,Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 0.5 ug total RNA (Affymetrix).,"Biotin-labeled cDNA was hybridized to the arrays for 16 hours at 45Â°C according to the manufacturerâ€™s instruction. Arrays were then washed and labeled with streptavidinphycoerythrin (strep-PE), and the signal was amplified using biotinylated antistreptavidin followed by another round of staining with strep-PE. These steps were performed on the Affymetrix fluidics station according to the recommended protocol.","Amplification and microarray hybridization were performed at the Duke University Microarray Core. Labeled gene chips were scanned using an Affymetrix Genechip Scanner 7G (Santa Clara, CA).","Data processing was conducted using the Robust Multichip Average (RMA) generated by Affymetrix Expression Console software. Microarray data was analyzed in two steps following the analysis strategy previously outlined and utilized (Zaas et al., 2010). First, a Bayesian sparse factor model was fit to the expression data without regard to phenotype (Carvalho et al., 2008; Wang et al., 2007). Second, factors were then used to build a probit regression with variable selection model (Hans et al., 2007) trained to identify S. aureus infection.",,,
GEO,31-10-11,11-01-13,11-01-13,blood A/J 0hrs rep2 batch 6 batch 6 1545_4319_23517_AJ-control-3,GSM824462,RNA,blood A/J mouse strain NOT infected,Mus musculus,A/J,male,0.50-0.66,-,-,-,-,-,-,0,2,6,"To mimic the natural course of S. aureus infection in humans, which typically arises from a primary focus of infection and disseminates to other sites, we employed an intraperitoneal (i.p.) route of infection in our animal model.",total RNA,"Total RNA was extracted from mouse blood using the Mouse RiboPure Blood RNA kit (Ambion, Austin, TX) according to the manufacturerâ€™s instructions. Globin mRNA was removed from whole blood RNA using the Globinclear kit (Ambion, Austin, TX). All samples passed the quality criteria of the Agilent Bioanalyzer and were used for microarray analysis. Since the total RNA yield of many samples was low, one round of linear amplification was performed for all samples using the MessageAmp Premier kit (Ambion, Austin, TX).",Biotin,Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 0.5 ug total RNA (Affymetrix).,"Biotin-labeled cDNA was hybridized to the arrays for 16 hours at 45Â°C according to the manufacturerâ€™s instruction. Arrays were then washed and labeled with streptavidinphycoerythrin (strep-PE), and the signal was amplified using biotinylated antistreptavidin followed by another round of staining with strep-PE. These steps were performed on the Affymetrix fluidics station according to the recommended protocol.","Amplification and microarray hybridization were performed at the Duke University Microarray Core. Labeled gene chips were scanned using an Affymetrix Genechip Scanner 7G (Santa Clara, CA).","Data processing was conducted using the Robust Multichip Average (RMA) generated by Affymetrix Expression Console software. Microarray data was analyzed in two steps following the analysis strategy previously outlined and utilized (Zaas et al., 2010). First, a Bayesian sparse factor model was fit to the expression data without regard to phenotype (Carvalho et al., 2008; Wang et al., 2007). Second, factors were then used to build a probit regression with variable selection model (Hans et al., 2007) trained to identify S. aureus infection.",,,
GEO,31-10-11,11-01-13,11-01-13,blood A/J 0hrs rep3 batch 6 batch 6 1545_4319_23524_AJ-control-5,GSM824463,RNA,blood A/J mouse strain NOT infected,Mus musculus,A/J,male,0.50-0.66,-,-,-,-,-,-,0,3,6,"To mimic the natural course of S. aureus infection in humans, which typically arises from a primary focus of infection and disseminates to other sites, we employed an intraperitoneal (i.p.) route of infection in our animal model.",total RNA,"Total RNA was extracted from mouse blood using the Mouse RiboPure Blood RNA kit (Ambion, Austin, TX) according to the manufacturerâ€™s instructions. Globin mRNA was removed from whole blood RNA using the Globinclear kit (Ambion, Austin, TX). All samples passed the quality criteria of the Agilent Bioanalyzer and were used for microarray analysis. Since the total RNA yield of many samples was low, one round of linear amplification was performed for all samples using the MessageAmp Premier kit (Ambion, Austin, TX).",Biotin,Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 0.5 ug total RNA (Affymetrix).,"Biotin-labeled cDNA was hybridized to the arrays for 16 hours at 45Â°C according to the manufacturerâ€™s instruction. Arrays were then washed and labeled with streptavidinphycoerythrin (strep-PE), and the signal was amplified using biotinylated antistreptavidin followed by another round of staining with strep-PE. These steps were performed on the Affymetrix fluidics station according to the recommended protocol.","Amplification and microarray hybridization were performed at the Duke University Microarray Core. Labeled gene chips were scanned using an Affymetrix Genechip Scanner 7G (Santa Clara, CA).","Data processing was conducted using the Robust Multichip Average (RMA) generated by Affymetrix Expression Console software. Microarray data was analyzed in two steps following the analysis strategy previously outlined and utilized (Zaas et al., 2010). First, a Bayesian sparse factor model was fit to the expression data without regard to phenotype (Carvalho et al., 2008; Wang et al., 2007). Second, factors were then used to build a probit regression with variable selection model (Hans et al., 2007) trained to identify S. aureus infection.",,,
GEO,31-10-11,11-01-13,11-01-13,blood A/J 0hrs rep1 batch 1 batch 1 1545_3293_16118_1,GSM824464,RNA,blood A/J mouse strain NOT infected,Mus musculus,A/J,male,0.50-0.66,-,-,-,-,-,-,0,1,1,"To mimic the natural course of S. aureus infection in humans, which typically arises from a primary focus of infection and disseminates to other sites, we employed an intraperitoneal (i.p.) route of infection in our animal model.",total RNA,"Total RNA was extracted from mouse blood using the Mouse RiboPure Blood RNA kit (Ambion, Austin, TX) according to the manufacturerâ€™s instructions. Globin mRNA was removed from whole blood RNA using the Globinclear kit (Ambion, Austin, TX). All samples passed the quality criteria of the Agilent Bioanalyzer and were used for microarray analysis. Since the total RNA yield of many samples was low, one round of linear amplification was performed for all samples using the MessageAmp Premier kit (Ambion, Austin, TX).",Biotin,Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 0.5 ug total RNA (Affymetrix).,"Biotin-labeled cDNA was hybridized to the arrays for 16 hours at 45Â°C according to the manufacturerâ€™s instruction. Arrays were then washed and labeled with streptavidinphycoerythrin (strep-PE), and the signal was amplified using biotinylated antistreptavidin followed by another round of staining with strep-PE. These steps were performed on the Affymetrix fluidics station according to the recommended protocol.","Amplification and microarray hybridization were performed at the Duke University Microarray Core. Labeled gene chips were scanned using an Affymetrix Genechip Scanner 7G (Santa Clara, CA).","Data processing was conducted using the Robust Multichip Average (RMA) generated by Affymetrix Expression Console software. Microarray data was analyzed in two steps following the analysis strategy previously outlined and utilized (Zaas et al., 2010). First, a Bayesian sparse factor model was fit to the expression data without regard to phenotype (Carvalho et al., 2008; Wang et al., 2007). Second, factors were then used to build a probit regression with variable selection model (Hans et al., 2007) trained to identify S. aureus infection.",,,
